TwitterID,UserName,TweeterHandle,UserID,RetweetCount,FollowerCount,FriendCount,TweetText,TweetLanguage,Location,Time,TweetSourceType,Sentiment,ConfidencePositiveSen,ConfidenceNeutralSen,ConfidenceNegativeSen,TranslatedText,UAEInterest
1417661835826798595,SACHIN KUMAR SHARMA,Sachingi19841,4832545270,17,6,70,"RT @ZeeNews: कोरोना की तीसरी लहर चिंता बढ़ा रही है इसी बीच कोरोना के 'डबल अटैक' का भी खतरा बढ़ गया है. 

#Coronavirus #coronathirdwave #Cor…",hi,,2021-07-21 01:44:55.000,COVID,negative,0.00,0.00,1.00,"RT @ZeeNews: The third wave of corona is raising concerns meanwhile the risk of coronas double attack has also increased. 

#Coronavirus #coronathirdwave #Cor...",0
1417827969427415042,🌺Della wb🆔🇮🇩,AdellaWibawa,868455215460110336,4,6296,194,"RT @Dennysiregar7: Duh, bingung gua antara mau kesal ma mau ketawa...

https://t.co/eeiwKrxZWv",in,,2021-07-21 12:45:04.000,COVID,negative,0.28,0.07,0.65,"RT @Dennysiregar7: Duh, confused cave between want to upset ma want to laugh ...

https://t.co/eeiwKrxZWv",0
1417887701408354312,VICE PRESIDENT KAMALA D HARRIS 1ST Not LAST 🇺🇸,NCCortes2,1358237566219268099,10,350,1518,RT @Chicanatravels: My grandma wouldn't take the Covid Vaccine bc she was confused w/ misinformation. She said she would take a tea called…,en,APARTHEID USA,2021-07-21 16:42:25.000,COVID,negative,0.00,0.00,1.00,NULL,0
1417888365689688066,Herr Engel,ErzengelHeiner,1195463165636751360,0,1797,844,"Corona wird nicht verschwinden!
Ich schütze mit der Impfung niemanden außer mich!
Ich sehe bei mir ein sehr geringes Erkrankungsrisiko.
Also geht mir nicht mit eurem Impfzwang auf den Sack!
Ich habe mich entschieden und werde mich nicht impfen lassen! Niemals! 🙅🏼
#HeinerULTRAS https://t.co/LUnZcPXdNh",de,,2021-07-21 16:45:04.000,COVID,negative,0.00,0.00,1.00,"Corona will not disappear!
I dont protect anyone but myself with the vaccination!
I see a very low risk of disease in me.
So Im not going to go with your vaccination compulsion on the bag!
I have decided and will not be vaccinated! never! ????
#HeinerULTRAS https://t.co/LUnZcPXdNh",0
1417933012013027333,GRUB 'em by the Pussy,GrubMyPuss,807889033649160192,45,198,728,RT @DerInformant_: ⚠️🇪🇺 Euro-Studie: Das Gerinnselrisiko für 18-39-Jährige durch den AstraZeneca-Impfstoff ist ZWEIMAL so hoch wie das Tode…,de,/home,2021-07-21 19:42:28.000,COVID,negative,0.00,0.00,1.00,RT @DerInformant_: ?????? Euro study: The risk of clots for 18-39 year olds from the AstraZeneca vaccine is TWICE as high as death...,0
1417993419595685894,shaw Gafar,jafar_shaw,1401186934702186499,1824,218,61,"RT @nathaliejacoby1: I’m so confused! First it’s Tucker Carlson, then Sean Hannity and now Mitch McConnell! McConnell is saying we that we…",en,,2021-07-21 23:42:30.000,COVID,negative,0.00,0.00,1.00,NULL,0
1418023624485736451,Dr Ruth Delaforce,Dr_R_D,2466925058,128,1119,2616,"RT @AnnastaciaMP: BREAKING: Queensland’s border with New South Wales will close from 1am Friday to reduce the risk of COVID-19 spread.

Thi…",en,,2021-07-22 01:42:32.000,COVID,mixed,0.24,0.19,0.57,NULL,0
1418129340605374465,Thestia,Thestia4,1300371084986871808,0,201,372,@BarryVictor5 Absolutely! Children are now more at risk than ever from Covid variants like Delta. It’s insanity to expose them to non-vaccinated school personnel for hours a day.,en,"Colorado, USA",2021-07-22 08:42:37.000,COVID,negative,0.00,0.07,0.93,NULL,0
1418235060981952516,เซงุน,tungtung_k,762817499893145600,1893,2,132,"RT @ddc_riskcom: สถานการณ์ COVID-19 ในประเทศไทย
วันที่ 22 กรกฎาคม 2564

#โควิด19 #COVID19 #สถานการณ์โควิด19 https://t.co/NV8SZXIxVa",th,,2021-07-22 15:42:42.000,COVID,neutral,0.00,1.00,0.00,"RT @ddc_riskcom: COVID-19 situation in Thailand
22 July 2021

#?????19 #COVID19 #??????????????19 https://t.co/NV8SZXIxVa",0
1418401191004880899,Marcelo Moura,Marcelo35907456,1338122444847058945,0,6,39,"@senadorhumberto Boa Noite pra quem não teve seu canal removido e/ou bloqueado pelo You Tube por conter falsos conteúdos e por violar as políticas de informações que proíbem a abordagem sobre a Covid-19 que apresente ""sérios riscos de danos significativos"".",pt,,2021-07-23 02:42:51.000,COVID,negative,0.14,0.00,0.86,@senadorhumberto Good Night for those who have not had their channel removed and/or blocked by You Tube for containing false content and for violating information policies prohibiting the approach to Covid-19 that presents serious risks of significant damage.,0
1418416295280664582,𝒹ℴ𝓇𝒶 🦁,baedoradora,73775847,280,1379,626,"RT @FaheemYounus: How to suffer unnecessary pain. This won’t reduce your risk of Covid.

Bagaimana menderita rasa sakit yang tidak perlu. I…",in,,2021-07-23 03:42:52.000,COVID,negative,0.12,0.01,0.87,"RT @FaheemYounus: How to suffer unnecessary pain. This won’t reduce your risk of Covid.

Bagaimana menderita rasa sakit yang tidak perlu. I…",0
1418627729428152322,Representative Lisa Reynolds,RepLisaReynolds,1347244450087579648,0,688,480,Even vaccinated individuals are at rising risk of catching COVID as more and more unvaccinated people continue to catch and spread the disease.,en,,2021-07-23 17:43:02.000,COVID,negative,0.00,0.00,1.00,NULL,0
1419111020711137286,Sarieon,Sjarieon,17633252,0,4,147,@Jo_M_Rigby @newscomauHQ I'm 31 and have been vaccinated. Most of my friends the same age have been. Just a general message to talk to your GP who will likely vaccinate you as covid risk is now much worse than any vaccine side effect.,en,,2021-07-25 01:43:27.000,COVID,negative,0.00,0.00,1.00,NULL,0
1419126941106548737,🔴🔴🔴 Kiki 🌍 #LaschetVerhindern,Keekee_808,1217514379178127360,0,128,222,"@micFDP Woran ist die Bundesregierung Schuld? Daran, dass du mit Kindern in Pandemiezeiten verreist? An Corona? An der Ansteckungsgefahr? 🤷🏼‍♀️ „Gefängnis“ 🤡 typisch #afdP‘sches ich ich ich + Mimimi... https://t.co/uZf7oh5fcz",de,Welt,2021-07-25 02:46:43.000,COVID,negative,0.00,0.06,0.94,@micFDP What is the Federal Governments fault for? That you travel with children in times of pandemic? To Corona? The risk of infection? ???? ?? prison ?? typical #afdP I M + Mimimi... https://t.co/uZf7oh5fcz,0
1419216741641736194,Katycat,Tracy46055205,1323725877310640129,305,54,577,"RT @TonyHinton2016: COVID vaccination in children is all risk and zero benefit, unethical and unnecessary. As a father I want to protect my…",en,,2021-07-25 08:43:33.000,COVID,mixed,0.50,0.00,0.50,NULL,0
1419232697738747904,henning rosenbusch,rosenbusch_,1314116355197743105,168,10465,398,"RT @rosenbusch_: „«In einer unsicheren Situation eine Impfpflicht zu fordern, ist heikel»

Die Ethikerin Baumann-Hölzle kritisiert, dass ma…",de,Schweden,2021-07-25 09:46:57.000,COVID,negative,0.01,0.01,0.98,"RT @rosenbusch_: Calling for compulsory vaccination in an uncertain situation is delicate

The ethicist Baumann-Hölzle criticizes that ma...",0
1419292251256131585,Cody Butler,CodyButlerTV,785117748,1,592,917,RT @WMTWSteve: What vaccinated people should really know about their risk from the delta variant - Slate https://t.co/GNd7EIgrg8,en,"Lansing, MI",2021-07-25 13:43:36.000,COVID,negative,0.03,0.01,0.96,NULL,0
1419368614680006659,robart valk,robartvalk_,300321370,0,688,843,@Kappienator @BilderbergsS @geenstijl Les een van psychologie. In tijden van angst en onzekerheid kiest men voor het vertrouwde dat men kent en niet voor het onbekende. Tijdens Corona is wereldwijd de perfecte uitvoer/uitwerking van dit fenomeen zichtbaar,nl,,2021-07-25 18:47:02.000,COVID,mixed,0.48,0.02,0.50,"@Kappienator @BilderbergsS @geenstijl Lesson one of psychology. In times of fear and uncertainty, one chooses the familiar one knows and not the unknown. During Corona, the perfect output/elaboration of this phenomenon is visible worldwide",0
1419429008895352833,Euro-Journal.press Deutsch,EuroJournalDE,1092541891252502531,0,164,19,Dänemark ist Corona-Risikogebiet: Das sind die Einreise-Regeln https://t.co/C8MWNFLgvE,de,Germany,2021-07-25 22:47:02.000,COVID,negative,0.00,0.01,0.99,Denmark is a corona risk area: these are the entry rules https://t.co/C8MWNFLgvE,0
1419533888515313665,su,Sumaiyyah___,1001680222469619713,0,221,208,"Kesian la they are risking their lives&amp; their family jugak untuk protect covid patients, bagi jelah tetap. Ingat dorg kuli barua ka habis je covid nak suruh balik tidur takda gaji. Siot mau letak menteri jaga patient covid baru ada akai https://t.co/WJvZJhdiex",in,,2021-07-26 05:43:47.000,COVID,negative,0.01,0.00,0.99,"They are risking their lives and their family also to protect covid patients, for it is permanent. 100% reviews : 10 reviews Im not going to be https://t.co/WJvZJhdiex",0
1419549849792491520,GO 1984 🚜🇮🇱🇺🇲✡🚲nexit🍺🍺,DeLeugenRegeert,1143101613839704065,2,576,432,RT @irEnriqueCortes: De risico’s van overlijden door de injecties zijn vele malen groter dan de risico’s op overlijden aan corona. Iedereen…,nl,The Netherlands,2021-07-26 06:47:12.000,COVID,negative,0.00,0.00,1.00,RT @irEnriqueCortes: The risks of death from the injections are many times greater than the risks of death from corona. everyone...,0
1419761278147571714,Dave,icestormfr,3028974134,9,328,169,"RT @risklayer: 13* Tote in #Deutschland 
1.370 #Corona Fälle

26/07 22U
20.445 Aktiv (+3,3%)

7-T Inz. = 15,1 (+0,5)
HH=30 +3
BE=24
SL=23 +…",de,"Baden-Württemberg, Deutschland",2021-07-26 20:47:21.000,COVID,negative,0.00,0.27,0.73,"RT @risklayer: 13* dead in #Deutschland 
1,370 #Corona cases

26/07 22U
20,445 Active (+3.3%)

7-T inc. = 15.1 (+0.5)
HH=30 +3
BE=24
SL=23 +...",0
1419791479703179288,竜生🌖,TappuTop,3222049992,63,781,395,"RT @kobayan_dolphin: 「ワクチン1回目接種後のみならず2回目接種後14日以降においても、一部の症例では感染性のあるウイルスが気道検体中に検出されたことから、二次感染リスクも否定できないことがわかった。」

https://t.co/GUpFPqmJFn

#…",ja,🇯🇵蝦夷地,2021-07-26 22:47:21.000,COVID,negative,0.00,0.00,1.00,"RT @kobayan_dolphin: Not only after the first dose of the vaccine, but also after the 14th day after the second vaccination, in some cases, an infectious virus was detected in the airway sample, so the risk of secondary infection was also undeniable. ?

https://t.co/GUpFPqmJFn

#...",0
1420032276205801475,Martín Ceja,MartnCeja2,1083536659453538304,227,145,328,"RT @aracelibs: ¡Madre mía! Cada vez el ᵖʳᵉˢⁱᵈᵉⁿᵗᵉ López habla del Covid y la vacuna, pone en riesgo la salud de todos. Su ignorancia e irre…",es,"Distrito Federal, México",2021-07-27 14:44:12.000,COVID,mixed,0.27,0.06,0.67,"RT @aracelibs: My mother! Every time president ?dente Lopez talks about Covid and the vaccine, it puts everyones health at risk. His ignorance and irre...",0
1420123750599593985,Corona Virus Updates,Corona_SSYT,1264545240414687232,1,2335,1,"RT @Gartner_Legal: As business disruption persists in the wake of COVID-19, GC must evolve to act as the organization’s disruption risk gui…",en,,2021-07-27 20:47:41.000,COVID,negative,0.00,0.00,1.00,NULL,0
1420213506796785670,🐢,grujio,3164205018,1040,6,88,"RT @ddc_riskcom: สถานการณ์ COVID-19 ในประเทศไทย
วันที่ 28 กรกฎาคม 2564

#โควิด19 #COVID19 #สถานการณ์โควิด19 https://t.co/Frky3VEhY8",th,,2021-07-28 02:44:20.000,COVID,neutral,0.00,1.00,0.00,"RT @ddc_riskcom: COVID-19 situation in Thailand
21 July 2021

#?????19 #COVID19 #??????????????19 https://t.co/Frky3VEhY8",0
1420349428452503554,Faya Bogush,FayaBogush,1571218195,1,2107,1757,"RT @CanadaLiberate: @MichaelPSenger @MZHemingway It's happening in Canada as well.  Scaring children into thinking kids are at risk.

https…",en,"UK, Devon",2021-07-28 11:44:27.000,COVID,negative,0.00,0.00,1.00,NULL,0
1420379633460076548,🇲🇽🌸Señorita 🌸Annie🌸,AnnieSenorita,1005564489918504960,0,2579,359,"Si bien cada uno es libre de pensar lo que quiera, que opinas de aquellos que con su ignorancia ponen en riesgo l… — Si te refieres a los que dudan de la vacuna covid la verdad es que es muy sensato, si te refieres a los locos que… https://t.co/G1Y0HODkVD",es,México,2021-07-28 13:44:28.000,COVID,negative,0.03,0.00,0.97,"While everyone is free to think what they want, what do you think of those who with their ignorance put at risk l... — If you refer to those who doubt the covid vaccine the truth is that it is very sensible, if you refer to the crazy who ... https://t.co/G1Y0HODkVD",0
1420379634571558925,patricia Silvana,CHIVISILVANITA,951989105642090502,7,2443,1915,"RT @Quetzal0518: Lo que dicen expertos en el mundo y la propia OMS, variante delta de Covid-19, es más riesgosa.

Lo que dice Dr. Muerte, n…",es,,2021-07-28 13:44:28.000,COVID,negative,0.01,0.00,0.99,"RT @Quetzal0518: What experts around the world and the WHO itself say, delta variant of Covid-19, is riskier.

What Dr. Death says, n...",0
1420380494923898884,アクア2012,5UCze16ATg4hQMn,1393711067126108161,0,131,178,"@Trilliana_z 基本これでしょ
ワクチン摂取者がウイルスを撒き散らしてる

国立感染症研究所

ワクチン1回目接種後のみならず
2回目接種後14日以降において
も、一部の症例では感染性の
あるウイルスが気道検体中に
検出されたことから、
二次感染リスクも否定できない
ことがわかった。

https://t.co/kuYWMbdoJi",ja,,2021-07-28 13:47:54.000,COVID,negative,0.00,0.01,0.99,"@Trilliana_z Basically, this is it.
Vaccine takers are spreading the virus.

National Institute of Infectious Diseases

Not only after the first vaccination
After 14 days after the second inoculation
even infectious in some cases
A virus is in an airway sample.
From what has been detected,
The risk of secondary infection is undeniable.
It was unders been unders been

https://t.co/kuYWMbdoJi",0
1420425788852166656,♦️Pascal,pascal44p,137370532,27,16745,12425,RT @pascal44p: Aïe ! L'administration sanitaire aux USA révèle que les tests PCR confondent la grippe et le corona dans 50% des cas ... et…,fr,#France,2021-07-28 16:47:52.000,COVID,negative,0.00,0.06,0.94,RT @pascal44p: Aïe! The health administration in the USA reveals that PCR tests confuse influenza and corona in 50% of cases ... and...,0
1420847808576360448,🥚John D'oeuf🍳,JohnDoe32712723,1233813228549017603,1020,6,7,"RT @_jeffreak_: Sans vaccin je n ai jamais eu le Covid 0 risques 0 soirée.Vacciné des 2 doses depuis avril ,je l ai chopé la semaine derniè…",fr,,2021-07-29 20:44:50.000,COVID,neutral,0.04,0.73,0.23,"RT @_jeffreak_: Without a vaccine I have never had Covid 0 risks 0 evening. Vaccinated 2 doses since April, I chopped it the last week...",0
1420938420948410371,카톡💌 HYUN１６８４🌌Adderal-애더럴팝니다🌌Adderal-애더럴해외직구🌌,Rn736wUhLIKtIMQ,1410363837560221697,0,0,0,"@Kr1684Tv1D1HdSZ But despite the uncertainty created by the Covid-19 pandemic, the Tokyo Organising Committee has been developing solutions to help athletes and members of the public cope with the high temperatures they are likely to encounter this year.",en,,2021-07-30 02:44:53.000,COVID,neutral,0.03,0.80,0.17,NULL,0
1420938421791465474,ε⑅𝐛𝐞𝐬𝐭☆,tsbeztyyyyy,1238098970003423244,425,294,1009,"RT @ddc_riskcom: ระบบการดูเเลผู้ป่วย COVID-19 ที่บ้าน
"" HOME ISOLATION &amp; CARE ""

#COVID19 #โควิด19 #HomeIsolation https://t.co/5QjYyzfToc",und,,2021-07-30 02:44:54.000,COVID,neutral,0.29,0.65,0.06,"RT @ddc_riskcom: COVID-19 Patient Watching System at Home
 HOME ISOLATION &amp; CARE 

#COVID19 #?????19 #HomeIsolation https://t.co/5QjYyzfToc",0
1420998832452734979,Marie Josée,MarieJo94378502,1418247813700497409,64,1,14,RT @UPR_Asselineau: Le risque pour les pouvoirs publics est d'autant plus grand que l'on assiste à l'apparition de décès post-vaccinaux sus…,fr,,2021-07-30 06:44:57.000,COVID,negative,0.00,0.00,1.00,RT @UPR_Asselineau: The risk for the public authorities is all the greater as we are witnessing the appearance of post-vaccination deaths in the light of...,0
1421164965583597577,Janelle Nunneley,NunneleyJanelle,2269021016,0,30,268,I am tired of hearing that everything is so confusing concerning covid regulations.  If everyone would use common sense they would realize that getting the vaccine and wearing a mask where cases are rising is the sensible thing to do.   Use your common sense!,en,,2021-07-30 17:45:06.000,COVID,mixed,0.26,0.22,0.52,NULL,0
1421352942188122114,mai. 🇵🇸,AnisyaaNizam_,471813810,5944,792,101,RT @afiqmnoor: Keputusan utk keluar protes di Dataran sewaktu pandemik bukanlah satu keputusan yg mudah. Org tidak akan mengambil risiko un…,in,,2021-07-31 06:12:03.000,COVID,negative,0.15,0.01,0.84,RT @afiqmnoor: The decision to quit protests in the Dataran during the pandemic is not an easy decision. Org will not take risks un...,0
1421473761656774662,Rob G,Oceanlugano,45031344,6,577,477,RT @danprimack: There is little more frustrating than having a kid who’s unable to get vaccinated be put at greater risk by adults who simp…,en,"Charlotte, N.C",2021-07-31 14:12:09.000,COVID,negative,0.00,0.00,1.00,NULL,0
1421597887700606980,Hochgradpflege,hochgradpflege,1236050649650954240,0,582,577,@mikeltwi123 @Der_Dutschi @kreichhorn @marillion13 @Uwe_Lutz_ @_klingebiel @Strasslady @Fuxinchen @onehousedragon @herb_nik @PenelopeRuzy @Spatzengepiepe @STEPHAN21020217 @Christa29930995 Ich bedauere Deine Angst u wünsche wirklich die Kraft diese zu Überwinden! Corona ist ein sehr winziger Teil des üblichen Lebensrisikos. Corona wird auch bleiben! Das Leben sollte normal weitergehen! Alles Gute!,de,"Sachsen, Deutschland",2021-07-31 22:25:23.000,COVID,mixed,0.38,0.03,0.59,@mikeltwi123 @Der_Dutschi @kreichhorn @marillion13 @Uwe_Lutz_ @_klingebiel @Strasslady @Fuxinchen @onehousedragon @herb_nik @PenelopeRuzy @Spatzengepiepe @STEPHAN21020217 @Christa29930995 I regret your fear and really desire the strength to overcome it! Corona is a very tiny part of the usual life risk. Corona will stay too! Life should go on normally! Best wishes!,0
1421748911899758596,Janak R Shah,JanakRShah1,1382564267442851844,0,7,31,"@mygovindia @narendramodi @PMOIndia @EduMinOfIndia @dpradhanbjp @PIB_India @MIB_India JEE advance 4 IITs admission date declared in October wn high risk corona, exam already delayed then can be taken now wn low corona
Students r ready but system???
Help don't spoil future &amp; gov name in history as lazy 
Difficult to study same thing 4 long feel pain if u can !",en,,2021-08-01 08:25:30.000,COVID,negative,0.00,0.00,1.00,NULL,0
1421941936680701954,Anadya,anadeei,1441167061,161,225,706,"RT @fsapradana: pengentalan darah pada pasien COVID bisa bermanifestasi sebagai serangan jantung!

Pria 49 tahun tanpa risiko kardiovaskula…",in,,2021-08-01 21:12:30.000,COVID,positive,0.59,0.04,0.37,"RT @fsapradana: blood thickening in COVID patients can manifest as a heart attack!

49-year-old man without cardiovascular risk...",0
1421960340745728004,FXStreet Vietnam,fxstreetnewsvn,1255457832692039685,0,24,0,"NZD/USD chịu áp lực ở dưới 0,7000 vào ngày giao dịch đầu tiên của tháng 8, chờ đợi các chất xúc tác từ Úc, Trung Quốc https://t.co/Qg0Gw8z8YS #NZDUSD #Khẩu vị rủi ro #Tiền tệ #Kinh tế vĩ mô #virus corona",vi,Vietnam,2021-08-01 22:25:38.000,COVID,negative,0.00,0.01,0.99,"NZD/USD came under pressure below 0.7000 on the first trading day of August, waiting for catalysts from Australia, China https://t.co/Qg0Gw8z8YS #NZDUSD #Kh?u risk #Ti?n macroeconomic #Kinh the #virus corona",0
1422017449864609796,Bob Atkinson,bob_atkinson,330014300,0,108,258,"@redmushroomloco @TorreySmithWR Shucks I’ll get all 3 covid vaccines plus booster shots if they let me. 🙄

My doctor laughs and tells me I am the most vaccinated adult patient he has.

Have all my CDC recommended adult vaccinations, From pneumococcal to Tdap.

Why risk disease when a vaccine is available? 😳😳",en,,2021-08-02 02:12:34.000,COVID,mixed,0.59,0.07,0.34,NULL,0
1422156676862464006,Selbst Denkender 🖤🤍❤,JeKra70,88887465,33,1931,5001,"RT @weltenlehrer: Geimpfte werden durch Ungeimpfte gefährdet? Was für eine schräge Werbekampagne für die Corona Impfung❗️😂

Fällt euch nich…",de,Deutschland,2021-08-02 11:25:48.000,COVID,negative,0.00,0.00,1.00,"RT @weltenlehrer: Vaccinated people are at risk from unvaccinated people? What a weird advertising campaign for the Corona vaccine????

Dont like it...",0
1422168481932402690,Gloria Campos,GloriaCampos,22188774,168,25455,5534,"RT @joncoopertweets: If you get vaccinated, you’re at VERY LOW risk of Covid-19 infection, and EXTREMELY UNLIKELY to be hospitalized or die…",en,,2021-08-02 12:12:43.000,COVID,negative,0.00,0.00,1.00,NULL,0
1422201991971942407,🔴sigrid pforr🔴,siggi2106,712767899979661312,11,88,74,RT @PZ_Nachrichten: Für #Schwangere ist eine #Corona-Infektion mit besonderen Risiken verbunden. Eine Studie aus #England belegt hier nun i…,de,"Dortmund, Deutschland",2021-08-02 14:25:52.000,COVID,mixed,0.41,0.13,0.46,"RT @PZ_Nachrichten: For #Schwangere, #Corona infection is associated with special risks. A study from #England now proves here i...",0
