TwitterID,UserName,TweeterHandle,UserID,RetweetCount,FollowerCount,FriendCount,TweetText,TweetLanguage,Location,Time,TweetSourceType,Sentiment,ConfidencePositiveSen,ConfidenceNeutralSen,ConfidenceNegativeSen,TranslatedText,UAEInterest
1416166677889404931,TorchOnHigh,TorchOnHigh,568016521,21,2220,2573,RT @GeorgiaLogCabin: Big government exploited corona virus to crush small business https://t.co/uBA19ZRpG1,en,"California, USA",2021-07-16 22:43:41.000,COVID,negative,0.01,0.32,0.67,NULL,0
1416226397123616776,🇯 🇴 🇭 🇦 🇳,johanadhi,272722956,7,3060,661,"RT @kumparan: Pelaku perjalanan luar negeri wajib menjalani karantina selama 8 hari. Setelah aturan tersebut dijalankan, sebanyak 30 persen…",in,Jakarta,2021-07-17 02:40:59.000,COVID,neutral,0.16,0.82,0.02,"RT @kumparan: Overseas travelers must undergo an 8-day quarantine. Once the rules are in place, as much as 30 percent...",0
1416498237612175365,Allicat⚜️,allicat1214,89474072,269,2322,4997,"RT @Cleavon_MD: Fully vaccinated people can contract &amp; transmit COVID, which is why it's important to wear masks indoors AND on planes. Clo…",en,"Louisiana, but Georgia in ‘22",2021-07-17 20:41:11.000,COVID,neutral,0.06,0.91,0.03,NULL,0
1416694573305417729,Billystones 🇬🇧,Billystones4,948256703476326402,99,255,99,RT @GBNEWS: ❓ Is it fair Boris Johnson and Rishi Sunak can take part in a daily testing pilot scheme to avoid self-isolating after coming i…,en,,2021-07-18 09:41:21.000,COVID,negative,0.03,0.01,0.96,NULL,0
1416725482398265346,Gerard van Beek,11Gerard,280173076,0,22,39,"Johnson toch niet in quarantaine op 'Freedom Day', kritiek op plannen zwelt aan https://t.co/rWK8EKdim8 via @NUnl why is it that these pilots are not known to the normal people and only available for special people. second class people??? #fredomday @BorisJohnson #Corona",en,,2021-07-18 11:44:11.000,COVID,positive,0.62,0.24,0.14,NULL,0
1416785193810210816,Joe Blake,jbalt63,4182983120,1959,1534,3757,RT @redsteeze: Texas Democrats boarded a plane while they were positive with COVID-19 and aimed it right at the United Stated Capitol. Just…,en,,2021-07-18 15:41:27.000,COVID,positive,0.79,0.19,0.02,NULL,0
1416861370499358723,Lisa ☽,stupefylisa,1071833311,0,16976,486,beter heb ik geen corona want ik zou me echt zwaar genaaid voelen als ik twee weken lang op Mallorca ben geweest zonder besmet te raken en dan in het vliegtuig terug door een andere Nederlander besmet ben geraakt,nl,she/her,2021-07-18 20:44:09.000,COVID,negative,0.00,0.00,1.00,I dont have corona better because I would feel really badly screwed if Ive been in Mallorca for two weeks without getting infected and then got infected by another Dutchman on the plane back,0
1416906008387936256,久保山　雄二,Y_Kuboyama,425636032,451,29,119,"RT @masa_rhythm: 英「ガーディアン」が、全然知らないことを報じている。海外メディアで日本のことを知る状況😢

『英国代表団の6人の選手と2人のスタッフが、東京へ向かう飛行機の中で新型コロナを発症した一般市民と接触し、隔離を余儀なくされたため、五輪に向けた準備は混…",ja,,2021-07-18 23:41:31.000,COVID,negative,0.00,0.01,0.99,"RT @masa_rhythm: The Guardian reports something you dont know at all. You can get to know Japan in the ??

Preparations for the Olympics were mixed because six athletes and two staff members of the British delegation came into contact with a civilian who developed the new Corona on a flight to Tokyo and were forced to isolate it...",0
1416921109476253699,伊月遊,ituki_yu,230180604,1400,16579,148,"RT @masa_rhythm: 英「ガーディアン」が、全然知らないことを報じている。海外メディアで日本のことを知る状況😢

『英国代表団の6人の選手と2人のスタッフが、東京へ向かう飛行機の中で新型コロナを発症した一般市民と接触し、隔離を余儀なくされたため、五輪に向けた準備は混…",ja,ムーンサイド,2021-07-19 00:41:32.000,COVID,negative,0.00,0.01,0.99,"RT @masa_rhythm: The Guardian reports something you dont know at all. You can get to know Japan in the ??

Preparations for the Olympics were mixed because six athletes and two staff members of the British delegation came into contact with a civilian who developed the new Corona on a flight to Tokyo and were forced to isolate it...",0
1417269187932692495,emuras,taguemura,548153479,20,597,980,"RT @yoshitaka_ISG: 本日より、羽田、成田、伊丹、関西、福岡空港発の沖縄・北海道行きの便に搭乗される方は無料でPCRか抗原検査を受けることが出来ます。

石垣島では陰性証明の提示で、島内で特典が受けられる「島旅パスポート」を発行していますので、是非検査を受けてか…",ja,Osaka,2021-07-19 23:44:40.000,COVID,positive,0.52,0.48,0.00,"RT @yoshitaka_ISG: From today, passengers boarding flights from Haneda, Narita, Itami, Kansai and Fukuoka airports to Okinawa and Hokkaido will be able to take PCR or antigen testing free of charge.

Ishigaki Island issues an Island Travel Passport that offers negative proofs and offers benefits on the island, so please take an inspection ...",0
1417420205580603407,Theo Lamballais Tessensohn,TLAT2008,170810592,0,780,1946,Reisbureaus hebben handen vol aan ‘corona-omboekingen’ en ‘het wordt er niet leuker op’ https://t.co/UnmCItgrtq,nl,Het oneindige heelal,2021-07-20 09:44:46.000,COVID,positive,0.60,0.04,0.36,Travel agencies have their hands full with corona rebookings and it doesnt get any more fun https://t.co/UnmCItgrtq,0
1417420209166639104,General-Anzeiger,gabonn,22751175,0,19175,824,"Viele Urlauber kommen nach #Mallorca, auch um ausgelassen zu feiern. Und eine entspannte #Corona-Lage schien das bisher auch zu erlauben. Doch nun steigen die Infektionszahlen wieder. Mit Folgen fürs Nachtleben. https://t.co/xnrV7tKYqF",de,Bonn,2021-07-20 09:44:46.000,COVID,positive,0.70,0.08,0.22,"Many holidaymakers come to #Mallorca, also to celebrate exuberantly. And a relaxed #Corona situation seemed to allow that so far. But now the number of infections is rising again. With consequences for the nightlife. https://t.co/xnrV7tKYqF",0
1417721571221848064,Jen,itsjenmichelle,4843707820,3299,37,24,"RT @robhoadley: While everyone watches Jeff Bezos not travel into space, a reminder that MacKenzie Scott, his former spouse and the 19th ri…",en,,2021-07-21 05:42:17.000,COVID,neutral,0.04,0.92,0.04,NULL,0
1417797086691487744,Shigezo Kamitoba,tadvirago,1017102211,3,1649,3529,"RT @XHNews: 17 airport workers in Nanjing, east China's Jiangsu, test positive for COVID-19 as of Wednesday noon, causing massive flight ca…",en,,2021-07-21 10:42:21.000,COVID,neutral,0.07,0.83,0.10,NULL,0
1417887701408354312,VICE PRESIDENT KAMALA D HARRIS 1ST Not LAST 🇺🇸,NCCortes2,1358237566219268099,10,350,1518,RT @Chicanatravels: My grandma wouldn't take the Covid Vaccine bc she was confused w/ misinformation. She said she would take a tea called…,en,APARTHEID USA,2021-07-21 16:42:25.000,COVID,negative,0.00,0.00,1.00,NULL,0
1417888361776353280,Maru Ginés,miss_gines,78480961,0,945,2744,"@cuatrostar @Bonita_Radio @nestorduprey @GovPierluisi Pero cuando un presidente sale de vacaciones, se le informa al pueblo donde está y por cuánto tiempo. En PR se creen que tienen corona de oro",es,Miami - San Juan,2021-07-21 16:45:03.000,COVID,neutral,0.02,0.97,0.01,"@cuatrostar @Bonita_Radio @nestorduprey @GovPierluisi But when a president goes on vacation, the people are told where he is and for how long. In PR they are believed to have golden crown",0
1417903493520805894,متعب العواد,motabalawwd,287580090,25,38777,1501,"RT @OKAZ_online: السفير السعودي: قرار منع السفر إلى #إندونيسيا يؤكد حرص القيادة على سلامة المواطن 
@EsamAbid
#عكاظ #ان_تكون_اولا 
#تطبيق_عك…",ar,Saudi Arabia,2021-07-21 17:45:10.000,COVID,neutral,0.01,0.74,0.25,"RT @OKAZ_online: Saudi Ambassador: Ban on travel to #????????? confirms leaderships concern for citizen safety 
@EsamAbid
#???? #??_????_???? 
#?????_??...",0
1418054529824616449,ω黒紫ω,nonmomi,3043516098,127,665,1831,"RT @Kanboukansen: 搭乗前モニタリング検査の対象者は羽田、成田、伊丹、関西、福岡空港から北海道・沖縄県内の空港へ向かう便の搭乗者のうち希望される方で、実施期間は7月20日～8月31日搭乗分です。検査の方法など詳細は以下のページからご覧ください。(2/2)
htt…",ja,神奈川県,2021-07-22 03:45:20.000,COVID,neutral,0.00,1.00,0.00,"RT @Kanboukansen: Pre-boarding monitoring inspections are conducted from July 20 to August 31, 2019, and passengers who wish to board flights from Haneda, Narita, Itami, Kansai, and Fukuoka airports to airports in Hokkaido and Okinawa Prefectures. Please refer to the following page for details such as how to inspect. (2/2)
htt...",0
1418160378131849220,山極 由磨,YuumaYamagiwa,127385536,56,553,1876,"RT @ayano_kova: 「宇宙旅行は金持ちの道楽」に対して少しだけ。冷戦の道具だったスパイ衛星の画像が現在は考古学（紛争で破壊される前の遺跡を探し出せる）分野で活躍していることを考えると、宇宙開発がいつどのように役立つのか簡単には読めない。
 https://t.co/…",ja,河内国,2021-07-22 10:45:56.000,COVID,mixed,0.48,0.01,0.51,"RT @ayano_kova: A little bit against space travel is the way the rich. Given that images of spy satellites, which were instruments of the Cold War, are now active in the field of archaeology (where sites can be searched before they were destroyed in conflict), it is not easy to read how and when space development can help.
 https://t.co/...",0
1418160395236384770,chauffeursnieuws,NieuwsCN,395438243,0,1452,780,Ruziën met een medeweggebruiker in Spanje? Aftikken maar (80 💶. ). Met de auto op vakantie gaan is dit jaar populair. Dat is niet zo raar in de tijd van corona. Veel vakantiegangers laten drukke vliegvelden en... - https://t.co/SC85X0JCbY https://t.co/oA4fI5PBLA,nl,Nederland,2021-07-22 10:46:01.000,COVID,positive,0.73,0.03,0.24,Arguing with a fellow road user in Spain? Tap (80 ??). Going on holiday by car is popular this year. Thats not so weird in the time of corona. Many holidaymakers leave busy airports and... - https://t.co/SC85X0JCbY https://t.co/oA4fI5PBLA,0
1418204853751451649,abby,BeautifulAbbyM,47658858,156,19,106,"RT @newsmax: The White House refused to call a visit by Texas lawmakers a ""superspreader"" event despite more than 10% of the traveling part…",en,,2021-07-22 13:42:40.000,COVID,negative,0.00,0.02,0.98,NULL,0
1418205716234440705,🔴Vibi,Vibi67855379,1241356961188380672,3,751,771,"RT @Echt_jetzt_: Zahl der #Corona Fälle in Bremerhaven auf Kreuzfahrtschifft steigt.
Sieben davon seien mit dem Flieger nach Deutschland ge…",de,"zwischen OWL , Bayern,Sachsen",2021-07-22 13:46:06.000,COVID,neutral,0.02,0.96,0.02,"RT @Echt_jetzt_: Number of #Corona cases in Bremerhaven on cruise ships rises.
Seven of them had taken a plane to Germany.",0
1418220809730985985,金貨欲しい,kinkahoshinoda,1211211697324609537,159,162,2089,"RT @ayano_kova: 「宇宙旅行は金持ちの道楽」に対して少しだけ。冷戦の道具だったスパイ衛星の画像が現在は考古学（紛争で破壊される前の遺跡を探し出せる）分野で活躍していることを考えると、宇宙開発がいつどのように役立つのか簡単には読めない。
 https://t.co/…",ja,,2021-07-22 14:46:04.000,COVID,mixed,0.48,0.01,0.51,"RT @ayano_kova: A little bit against space travel is the way the rich. Given that images of spy satellites, which were instruments of the Cold War, are now active in the field of archaeology (where sites can be searched before they were destroyed in conflict), it is not easy to read how and when space development can help.
 https://t.co/...",0
1418235059815997440,Melinda Moore,Melinda62909033,927609590245556224,1,2883,3041,"RT @wendyMCali: @BadCOVID19Takes @MeidasTouch Wrong Again Cruz. Science with evidence was the indicator used to open schools, travel, busin…",en,,2021-07-22 15:42:42.000,COVID,negative,0.00,0.00,1.00,NULL,0
1418296336965939200,bularator,bularator,68378832,1,246,174,RT @hochbahn: Wir halten trotz Corona und gesunkenen Fahrgastzahlen an unserem Ziel fest: Bis 2030 möchte der Hamburger ÖPNV klimaneutral u…,de,hamburch,2021-07-22 19:46:12.000,COVID,neutral,0.00,0.99,0.01,"RT @hochbahn: Despite Corona and lower passenger numbers, we are sticking to our goal: By 2030, Hamburgs public transport system wants to be climate-neutral and...",0
1418417163833167875,Corona Virus Updates,Corona_SSYT,1264545240414687232,825,2281,1,RT @tosh_taniguc: 世間は五輪で華やかな感じがしますが、救急収容困難例のCOVID-19が出始めて、地獄の入り口に立っている感じがします。4連休後は、一体どうなっているのだろう😖,ja,,2021-07-23 03:46:19.000,COVID,negative,0.00,0.00,1.00,"RT @tosh_taniguc: The world feels glamorous at the Olympics, but it feels like covid-19, an example of difficulty in emergency detention, is starting to come out and standing at the entrance to hell. What will happen after the four consecutive holidays??",0
1418431398633820162,Jelitatatititutu~ 🍀🏴,izzatyhusna_,358683399,131,829,349,"RT @NewsBFM: 1. An Indonesian man who tested positive for Covid-19, was removed from a plane after boarding a domestic flight disguised as…",en,Sendawa,2021-07-23 04:42:53.000,COVID,neutral,0.11,0.71,0.18,NULL,0
1418447349517492224,肉欲さとる。,nikuyok,787511064732708865,404,340,1498,"RT @ayano_kova: 「宇宙旅行は金持ちの道楽」に対して少しだけ。冷戦の道具だったスパイ衛星の画像が現在は考古学（紛争で破壊される前の遺跡を探し出せる）分野で活躍していることを考えると、宇宙開発がいつどのように役立つのか簡単には読めない。
 https://t.co/…",ja,"Yotsukaido-shi, Chiba",2021-07-23 05:46:16.000,COVID,mixed,0.48,0.01,0.51,"RT @ayano_kova: A little bit against space travel is the way the rich. Given that images of spy satellites, which were instruments of the Cold War, are now active in the field of archaeology (where sites can be searched before they were destroyed in conflict), it is not easy to read how and when space development can help.
 https://t.co/...",0
1418477570455003136,スグル・サトー,SatoSuguru,369444619,429,857,350,"RT @ayano_kova: 「宇宙旅行は金持ちの道楽」に対して少しだけ。冷戦の道具だったスパイ衛星の画像が現在は考古学（紛争で破壊される前の遺跡を探し出せる）分野で活躍していることを考えると、宇宙開発がいつどのように役立つのか簡単には読めない。
 https://t.co/…",ja,越後,2021-07-23 07:46:21.000,COVID,mixed,0.48,0.01,0.51,"RT @ayano_kova: A little bit against space travel is the way the rich. Given that images of spy satellites, which were instruments of the Cold War, are now active in the field of archaeology (where sites can be searched before they were destroyed in conflict), it is not easy to read how and when space development can help.
 https://t.co/...",0
1418507770987487233,Dirk Schaap,dirks98,743687880,3,280,813,"RT @DrJHAmsterdam: Het kabinet, Mark Rutte en Hugo de Jonge voorop, hebben het voor elkaar.
Met Spanje classificeert Duitsland Nederland al…",nl,"Alkmaar, Nederland",2021-07-23 09:46:21.000,COVID,neutral,0.04,0.95,0.01,"RT @DrJHAmsterdam: The cabinet, Mark Rutte and Hugo de Jonge at the forefront, have done it.
With Spain, Germany already classifies the Netherlands...",0
1418522871350104064,Lust auf Reisen,Reiselust3,2375551980,0,256,344,"Einreise, Impfausweis, Quarantäne: Die Coronaregeln in Europas Urlaubsländern https://t.co/Iql5XkLdyi #Reisenachrichten",de,Germany,2021-07-23 10:46:22.000,COVID,neutral,0.00,0.99,0.01,"Entry, vaccination certificate, quarantine: The corona rules in Europes holiday countries https://t.co/Iql5XkLdyi #Reisenachrichten",0
1418568182109966336,Die_Nichtweggucker,nichtweggucker,813323412185710592,6,46,131,RT @Markus_Soeder: Die Ferien werden leider ein Corona-Treiber. Wir brauchen daher dringend ein bundesweites Konzept für Schülerimpfungen.…,de,"Göttingen, Deutschland",2021-07-23 13:46:24.000,COVID,negative,0.00,0.00,1.00,"RT @Markus_Soeder: Unfortunately, the holidays will be a corona driver. We therefore urgently need a nationwide concept for student vaccinations....",0
1418583278571999235,Eso | #NoCovid #YesToNoCovid 🤜🦠🤛,EsoInfo1,4178967315,35,961,1891,"RT @wordklauberei: ""Während eines Ferienlagers für Hamburger Kinder in Dänemark hat es einen Corona-Ausbruch gegeben. 78 Personen wurden na…",de,,2021-07-23 14:46:24.000,COVID,negative,0.01,0.42,0.57,RT @wordklauberei: There has been a corona outbreak during a holiday camp for Hamburg children in Denmark. 78 people were...,0
1418689003742695424,Honey Badger,SalsaPrice,799828260817408000,227,2317,1714,"RT @GillianMcKeith: ISRAEL 'Corona' Cabinet has decided that as of 8 August,  those who refuse the 'You Know What' will not be able to go t…",en,Realville,2021-07-23 21:46:31.000,COVID,negative,0.01,0.01,0.98,NULL,0
1418704104499580931,SS,Roserat_SS,2802147932,248,420,60,"RT @GillianMcKeith: ISRAEL 'Corona' Cabinet has decided that as of 8 August,  those who refuse the 'You Know What' will not be able to go t…",en,,2021-07-23 22:46:31.000,COVID,negative,0.01,0.01,0.98,NULL,0
1418763654196088838,Charles Strain,OneMarineSempFi,2363080230,64,3643,5002,RT @JamesHa77433215: So a plane of full VACCINATED Texas Democrats contract Covid &amp; they want us to believe that their vaccine doesn't work…,en,"Ohio, USA",2021-07-24 02:43:09.000,COVID,neutral,0.05,0.65,0.30,NULL,0
1418854270242336768,medusa 🇸🇴,Araweylo,1062754376886960130,21,172,380,"RT @teatuahere: my nephew has covid. please, get vaccinated wear a mask stop traveling covid isn’t over just because you’re tired of it.",en,London,2021-07-24 08:43:13.000,COVID,mixed,0.25,0.23,0.52,NULL,0
1419126941106548737,🔴🔴🔴 Kiki 🌍 #LaschetVerhindern,Keekee_808,1217514379178127360,0,128,222,"@micFDP Woran ist die Bundesregierung Schuld? Daran, dass du mit Kindern in Pandemiezeiten verreist? An Corona? An der Ansteckungsgefahr? 🤷🏼‍♀️ „Gefängnis“ 🤡 typisch #afdP‘sches ich ich ich + Mimimi... https://t.co/uZf7oh5fcz",de,Welt,2021-07-25 02:46:43.000,COVID,negative,0.00,0.06,0.94,@micFDP What is the Federal Governments fault for? That you travel with children in times of pandemic? To Corona? The risk of infection? ???? ?? prison ?? typical #afdP I M + Mimimi... https://t.co/uZf7oh5fcz,0
1419352660000579589,shahzad ali,shahzad08071984,1044085316112519168,58,1372,1791,"RT @samrinahashmi: I came back to Pakistan recently.
Had Covid PCR in USA, as per requirement for PIA,before travel
At 𝐊𝐚𝐫𝐚𝐜𝐡𝐢 airport,had…",en,Kuwait,2021-07-25 17:43:39.000,COVID,neutral,0.07,0.85,0.08,NULL,0
1419458376560300033,sic,kimvie,29897850,1,2825,4999,RT @MedFirstLtd: UK to review 'red list' travel ban as India briefs officials on Covid-19 situation - Mint https://t.co/IAYLDTaIR1 • https:…,en,,2021-07-26 00:43:43.000,COVID,neutral,0.00,0.66,0.34,NULL,0
1419458376128401413,jade ♡ remi protector,flwrjade,1253450566853971968,0,669,646,i have to get quarantined because some kid in our cabin got covid :((,en,they/she ☁︎ 16 ☁︎ indigenious,2021-07-26 00:43:43.000,COVID,negative,0.01,0.20,0.79,NULL,0
1419459211860221952,🕯DebbieN,northway_debbie,1897328731,0,4542,4976,"Therefore, the [Corona] Cabinet decided … those who refuse vaccines will not be able to go to the cinema, the theater, the synagogue, the amusement park, … , unless they bring negative results from a … test, at their expense. Yes, they will fully bear the costs of the test https://t.co/yjTDivvDBO",en,"Queensland, Australia ",2021-07-26 00:47:03.000,COVID,negative,0.00,0.00,1.00,NULL,0
1419473478948950022,Ian Hughey,ianhughey1983,41296431,0,85,617,@KarenMariam3 @10TV Correct. Most predominantly in China… where COVID originated. And yet… it still managed to get all over the entire planet… with masks.,en,,2021-07-26 01:43:44.000,COVID,positive,0.97,0.02,0.01,NULL,0
1419533888913764355,Afliyana.a,afliyanana,2298854539,8476,464,234,"RT @TweetAtok: ""Lepas habis covid ni kita pergi bercuti nak?""

Me:

https://t.co/4aFClf6vMj",in,Earth,2021-07-26 05:43:47.000,COVID,neutral,0.17,0.75,0.08,"RT @TweetAtok: After covid is over we go on vacation son?

& To:

https://t.co/4aFClf6vMj",0
1419580059342487552,Martin ⛷,Martin_Jansen,21758949,0,445,1088,@AndelTim @thijszonneveld Nee joh.. veel simpeler. Straks zijn er gewoon een paar grote favorieten besmet met corona dankzij megafail om de sporters tussen 'gewone' passagiers op het vliegtuig te zetten.,nl,Haarlemmermeer,2021-07-26 08:47:15.000,COVID,positive,0.74,0.22,0.04,@AndelTim @thijszonneveld No. much simpler. Soon there will just be a few big favorites infected with corona thanks to megafail to put the athletes on the plane among ordinary passengers.,0
1419580065814360064,Ahmad Mumtaz,AhmadMu62493910,1234039317393235968,9,8,13,"RT @24NewsHD: Corona 4th Wave!! Holidays Extend, Exams Cancel!! Shafqat Mehmood Announcement 
https://t.co/os3bONzLCB https://t.co/tTg6iGeC…",en,"Pakistan ",2021-07-26 08:47:16.000,COVID,negative,0.01,0.03,0.96,NULL,0
1419594302179581954,𝗔zah,azh__hh,1060867947512492032,27121,71,96,"RT @TweetAtok: ""Lepas habis covid ni kita pergi bercuti nak?""

Me:

https://t.co/4aFClf6vMj",in,"Sarawak, Malaysia",2021-07-26 09:43:51.000,COVID,neutral,0.17,0.75,0.08,"RT @TweetAtok: After covid is over we go on vacation son?

& To:

https://t.co/4aFClf6vMj",0
1419594302783729664,Váitovek,vaitovek,1407333039995297794,0,1687,600,"El dilema
a) Vacunados: Serán enfermos permanentes con todo tipo de enfermedades, COVID incluido. Pero podrán viajar, ir a sitios públicos, trabajar, estudiar, etc.

b) No vacunados: Estarán sanos como manzanas pero no podrán viajar, ir a sitios públicos, trabajar, estudiar, etc. https://t.co/KRELk1JxFJ",es,,2021-07-26 09:43:51.000,COVID,mixed,0.42,0.05,0.53,"The dilemma
a) Vaccinated: They will be permanently ill with all kinds of diseases, including COVID. But they will be able to travel, go to public places, work, study, etc.

b) Un vaccinated: They will be healthy like apples but will not be able to travel, go to public places, work, study, etc. https://t.co/KRELk1JxFJ",0
1419595167795929088,😮‍💨,doxelangevin,772035894,119,899,426,RT @Naomii_Kaa: « On Se VaCCinE pOuR noTre sAntE » alors que ça c’est vacciné juste pour pouvoir aller au ciné restau voyager etc corona fa…,fr,,2021-07-26 09:47:17.000,COVID,neutral,0.04,0.77,0.19,RT @Naomii_Kaa: On Se VaCCinE pOuR noTre sAntE while thats vaccinated just to be able to go to the cinema restau travel etc corona fa...,0
1419624508369997825,Azwin,azwinjailani,616929543,32526,372,97,"RT @TweetAtok: ""Lepas habis covid ni kita pergi bercuti nak?""

Me:

https://t.co/4aFClf6vMj",in,,2021-07-26 11:43:52.000,COVID,neutral,0.17,0.75,0.08,"RT @TweetAtok: After covid is over we go on vacation son?

& To:

https://t.co/4aFClf6vMj",0
1419655567807815686,stefan,stefan88682040,956243594381324290,0,465,2780,"Infektionen im Urlaub: Aus diesen Ländern bringen Deutsche #Corona mit - Ratgeber - https://t.co/YnmRfD67hG
Nicht reden, sondern machen. Aber es wird wohl erst mal gewartet, bis alle Urlauber nach #nrw zurück gekommen sind.  https://t.co/0xXATVGCLh",de,Deutschland,2021-07-26 13:47:17.000,COVID,neutral,0.07,0.83,0.10,"Infections on holiday: Germans bring #Corona from these countries - Guide - https://t.co/YnmRfD67hG
Not talking, but doing. But it will probably be waited until all holidaymakers have come back to #nrw.  https://t.co/0xXATVGCLh",0
1419776389541253122,Jeffrey Mets,true_ztory,2513672317,283,168,331,"RT @houthoven: Vraag je af “Als er Ebola heerst in Spanje, ga ik er dan op vakantie?” Waarschijnlijk zeg je “Nee”. Toch ga je nu naar Spanj…",nl,,2021-07-26 21:47:24.000,COVID,neutral,0.09,0.86,0.05,"RT @houthoven: Wonder If there is Ebola in Spain, will I go on holiday there? Youre probably saying no. Yet now you go to Spanj...",0
1419791483381583889,yamamoto...？,whitecalar,2650772702,110,122,84,"RT @kaQkaQ28Q80: 厚生労働省が熱中症予防のためにマスクを外すように呼びかけています🙏✨拡散お願いいたします✨

まず、外でマスクを外しましょう👍大人がマスクを外しているのを見れば、子ども達も安心してマスクを外して遊べます😊💕夏休みの子どもたちを守ろう！

htt…",ja,,2021-07-26 22:47:22.000,COVID,positive,0.84,0.16,0.00,"RT @kaQkaQ28Q80: The Ministry of Health, Labour and Welfare has called for the mask to be removed ??? prevent heat heat, but please spread?

First of all, lets remove the mask outside ?? If you see an adult unmasked, children can also play with peace of mind ????So protect the children during summer vacation!

htt...",0
